R,G,B
143.7363118409116,141.64500784786188,142.94949528888293
143.82333123773233,141.69828144721245,142.7676810335312
143.7314153172362,141.683700224745,142.89833650281412
143.775916391301,141.59313763159918,142.6834799815569
143.82533848386137,141.68740811208164,143.06153727886843
143.76139277585165,141.5569758842907,142.6404972964667
143.75375545495135,141.6055872144102,142.8074480189345
143.84521431863573,141.58931383469042,142.5812288754033
143.86505462840677,141.64670428622884,142.83565854244208
143.83849201584823,141.60412054268218,142.71772361628047
143.70883511968475,141.53412947167837,142.8158674084065
143.85141762966944,141.59359043267938,142.5697921065766
143.7480032083147,141.4881393215471,142.77142678750678
143.808849285752,141.5797189072989,142.60517463927715
143.73665359113105,141.60311508231823,142.83581960562137
143.90084299060035,141.5927577698194,142.6224400641364
143.77826124542543,141.55609025156326,142.86252869588606
143.7212727665395,141.38537182348284,142.51213495548677
143.7010106344672,141.5213865616823,142.80648630482273
143.88259896663658,141.59179263584502,142.41547260050325
143.7579402972183,141.4592344493016,142.7734777997975
143.82659159310515,141.47107219830173,142.5878538273596
143.73235751593825,141.4225122897304,142.68658787157233
143.82702739029003,141.43183149163315,142.58193085703863
143.7515636775584,141.41201883613428,142.68351070213083
143.7364011318402,141.38240372164404,142.33540357776604
143.7562811900192,141.35753358925143,142.61919385796546
143.8050381195629,141.3880705932057,142.37382616711156
143.7223198509641,141.40352519781823,142.58779864792194
143.7405449272022,141.34312934578003,142.36456052399063
143.76349590960345,141.3685723196507,142.63579876688337
143.72249979601926,141.30601911179585,142.35399058328895
143.75583382128494,141.30886856023884,142.61870182477898
143.8308773074727,141.33357165821334,142.46297726956465
143.6947800800407,141.30146261408677,142.53846080021498
143.80064589501566,141.3513361773188,142.39430787022596
143.64396661031276,141.29571390148314,142.52137285791133
143.84523895197933,141.380807077642,142.42726849652882
143.72844583505292,141.31137046385965,142.544994289334
143.7253339987715,141.26919533169533,142.39124404944718
143.71307295618018,141.34642901729552,142.5810085373232
143.78122089170995,141.22908764416107,142.39072567867328
143.73041599654337,141.31790969538395,142.58894356561606
143.75214470780156,141.3147010843489,142.2649073985222
143.75281103779244,141.29708938212357,142.6284775044991
143.83268744087323,141.3354126748592,142.51163806971795
143.78103378690037,141.35329220479704,142.62787803659288
143.78349412560507,141.33038134393874,142.35283309426376
143.6807215895719,141.2645492226486,142.5332577675102
143.83959660348197,141.2835967762839,142.32202120663752
143.6862290677031,141.2162084352958,142.61018185307807
143.73474490457016,141.2967179049109,142.35186420505536
143.71454784755647,141.33683507699993,142.55364056450605
143.79928160505565,141.2981675166393,142.33979696699032
143.64396694849378,141.25655224038158,142.55463479237244
143.60909226069148,141.1087013865242,142.17582143525158
143.68786934668543,141.30460330185736,142.60753599254946
143.7726064467838,141.28773498901225,142.24485879067626
143.74788161021627,141.31767925298254,142.58805060131064
143.78122405892373,141.31911902305606,142.29805906768073
143.6486405994812,141.29106542415218,142.62199058507062
143.72519944543853,141.264678368745,142.33827769329298
143.67955135557995,141.30661688127816,142.55929372579322
143.7807620327271,141.26635155237776,142.3413455540093
143.64481613695685,141.23981364194688,142.5090923921388
143.6777889234993,141.18050789293068,142.19672571765915
143.7160476638565,141.26237685556814,142.58835672997523
143.715562081342,141.1912583251761,142.3674881480202
143.60389096093198,141.18164537822386,142.37784465916891
143.74380169256395,141.1257086351483,142.2706998267114
143.58419684763237,141.04099230883787,142.43117106470473
143.67776529661953,141.06008717608995,142.16225025682382
143.52415362676513,140.86587186886317,142.1863005411219
143.7073530188326,140.9085637202425,142.1390386397131
143.50541320389655,140.76187664136503,142.09243975860232
143.56906806715023,140.82061744811793,141.99960155346145
143.5151371171327,140.6895979113274,142.16193931714997
143.57115634764827,140.78008707046757,141.82927180481624
143.2028302790983,143.40067666002147,141.46976115626438
143.26103332279118,143.4037165885589,141.21869698973578
143.22833291001538,143.42022054066487,141.42203681428484
143.18461958657173,143.36805562210702,141.0948182506445
143.17205961331902,143.384010088998,141.488678648151
143.21765477992602,143.39286124897006,141.204433096365
143.16311403887275,143.37589774568747,141.47697264332768
143.24841280108865,143.3615507352624,141.17532259069193
143.20348112194,143.40006043281406,141.51539118256466
143.17640889587005,143.34461439736418,141.1607156539729
143.151068756082,143.36510759466364,141.3830839808827
143.25559670210166,143.32202894523783,141.13574847057808
143.18883447694253,143.33457277571205,141.44544696592172
143.21467616524458,143.32430904552706,141.16232220108944
143.16454398221353,143.29431043900755,141.312326902989
143.2344061493636,143.3538807314829,141.16689349792978
143.21397465780362,143.41261642350818,141.43632317535227
143.24986940790262,143.29235377279372,141.22449380586107
143.1964043565552,143.31956376948398,141.44679607277536
143.14382551042894,143.24735324269687,141.1362277600529
143.21796824849338,143.3783928793845,141.38308278961034
143.28217473160777,143.40379797166852,141.16910267649695
143.19642215504314,143.38446023312525,141.4220256888118
143.31298774758883,143.40524514409526,141.2523920004602
143.19024535116543,143.36567957770092,141.43336430959658
143.2290960127225,143.34262612327797,141.13601483014313
143.1029878206541,143.24768822407697,141.2168517684487
143.20443743891454,143.32823249841897,141.1482484045917
143.15101724063598,143.34874563475145,141.36455873265277
143.21919095092025,143.30483608128836,141.14943922546013
143.50128992894582,140.4815782773083,143.00623585762258
143.49513174066678,140.4219638193271,142.69316043170994
143.43866586682665,140.40936292741452,143.0143827234553
143.4559602903337,140.38764449479626,142.7491455125005
143.45922553003447,140.442885001489,143.01564886596157
143.198465605425,143.22666800758577,141.0433883110166
143.07133819624835,143.2302280330116,141.33029321268702
143.20780197204277,143.18894832366786,141.00782016962057
143.09032551896064,143.11186058775587,141.24878949134666
143.22919191870798,143.22816666586817,141.07175811698423
143.14319544781236,143.23495347622037,141.30527365378254
143.20004887187423,143.20719758132137,141.04104758299837
143.0880911664535,143.18583930906635,141.32800666791212
143.11931771889212,143.13367648679866,141.02313889567847
143.1520200834575,143.1955741655448,141.32101912048637
143.14018185650775,143.15186168174154,140.98580982676685
143.11318468134027,143.25621152971044,141.35204655952865
143.175275709755,143.20386233196317,141.06114959709487
143.08054952376844,143.19728977024883,141.3716907059348
143.20777044014616,143.21741524875847,141.0661967177002
143.10346512597192,143.22739140641093,141.27183010199437
143.20945130131474,143.23694852236574,141.1326421097014
143.1020953202915,143.2946298427311,141.23973436900653
143.1040088179618,143.1678384012652,141.0818824431505
143.09501571061807,143.1860367092003,141.2770529179599
143.12755573648795,143.16493689982997,141.07526042290286
143.0614078762172,143.24082496337644,141.30471749600252
143.17582970405186,143.2542317661545,141.10264997436744
143.07002619995305,143.17218206811987,141.411348842556
143.18694543991109,143.27346160479868,141.13159962438436
143.02842575377124,143.22379291177091,141.24645876061413
143.13441066094816,143.16026843838554,141.10542237880065
143.00857299028587,143.1927580287876,141.19583145539457
143.16633769618457,143.25332483759078,141.0602974148669
143.07615719435495,143.2434038963031,141.3783651633686
143.14093602832327,143.2489687782957,141.02659857329698
143.027026379701,143.15539449796177,141.36033895544622
143.09450217901443,143.17629902782434,140.99791197739572
143.12224820540342,143.24241669142523,141.31655341620265
143.10579306443185,143.1901791664469,141.0138845606179
143.0942348154077,143.2823066489655,141.3374998202723
143.04242180351352,143.1931761019848,141.03688852479436
142.9897858524719,143.2285613040397,141.39097726358534
143.0737459595355,143.22018915359752,141.07859691128937
143.02689210101423,143.2534507457252,141.315058714181
143.0802491895593,143.2691333432294,141.0371677432639
142.97474568308422,143.2767572076434,141.32639814379812
143.03860558226853,143.22383670810905,141.0632507040095
142.98346296047967,143.19782188080688,141.34085553916591
143.10147585572815,143.22166088838662,141.09788438332023
142.95539938736476,143.17115916532043,141.33458608771517
143.09074666615572,143.16072386572654,141.0758689071122
142.92600243479262,143.09423797701325,141.1965376098772
143.05336833734154,143.07449050963407,140.92706646609625
142.8389561064035,142.98142686558575,141.10178538031047
143.06281643142069,143.0069998465787,140.93015495550782
142.8412228891403,142.90871958118396,141.02645885669358
142.95264275477288,142.91993845475417,140.9252110225426
142.8258881496961,142.81352211507124,140.97114591920857
142.98501668008743,142.87177901760035,140.88079009931363
142.82878631823516,142.7332726532372,140.92596708903207
142.9815256000345,142.81777262203218,140.84507676894538
142.83745259453525,142.78982898074057,140.90712124771662
142.9542176756666,142.81867708008912,140.7232696868786
142.83367376294592,142.640472765631,140.90266110471808
142.9722765162403,142.74450512599407,140.7576554565488
142.93149417573463,142.77103686304588,140.93197353914002
143.0299621697041,142.7960088798109,140.8030331362706
142.9339907098036,142.7475252508305,140.9120259626954
142.98819835582293,142.8198020276586,140.64771468973947
142.93199196521456,142.79154621679538,141.01685579094217
142.90256415169355,142.75510507130096,140.7636314864224
142.9632516116663,142.84275888513432,140.97762599755555
142.9287252048581,142.82425117113144,140.8162917927301
143.00610883793132,142.85430301752638,141.0408836973083
143.00842935024957,142.89362620290856,140.80520912748074
142.94713022800929,142.91720520835332,141.03538554471015
142.96823252717144,142.84470246734398,140.75569414706348
142.97395226100517,142.9360201511335,141.10103394506416
142.90038462828048,142.8898803964114,140.75439831779013
142.90711723979211,142.87945666557988,141.06109395677106
143.03735472363928,142.95988358712745,140.81595450884123
142.92136404610753,142.91380732273348,141.09284316922074
142.94013816114327,142.82717872260866,140.75414315642124
142.90977861724463,142.84283166665068,141.07360569132973
142.85314956855223,142.78387344199425,140.72706615532118
142.89920344311952,142.84990989609295,140.92181089682143
142.90814120173937,142.78745427435865,140.7828325686424
142.9302140435185,142.9071454949187,141.11043168400406
142.93668222731324,142.80317858957278,140.7392089951401
142.91090291569526,142.8391954254574,141.0193372286024
142.9194426196493,142.80213093451357,140.82136880415445
142.8398918550973,142.7715678614058,140.92614891974938
142.9319458827139,142.82333256625628,140.6974408391823
142.85834617212134,142.8100243337029,141.0051451143012
142.8679039981593,142.8462139477809,140.76687390051816
142.81315262103155,142.82472121276044,140.8419039035008
142.92632280140128,142.85391556882496,140.77344764624976
142.8248742043334,142.80708293160265,140.90904337731985
142.9657774262362,142.86724191654082,140.7694925816735
142.87087740834156,142.816131692768,141.00104533292415
142.95756645971667,142.86371023803247,140.8377687753194
142.8981093343821,142.85586432483765,141.0690989841629
142.97999606920123,142.89368148066478,140.98625658528636
142.83278628825522,142.84513433350742,141.0911033699574
142.95994765778158,142.81462610304516,140.7678440470313
142.9294640031456,142.9236763112215,141.15518398818486
142.89896342018622,142.86691714549977,140.75891731802346
142.91099724877057,142.96600266495395,141.0990778109033
142.86511621214592,142.90463217872593,140.84084259801054
142.9747098877913,143.0442121415556,141.20222499280715
143.02747695465752,142.99557318395028,140.8758093447545
142.9120529445874,142.92514053222536,141.03851038237224
143.00253113584722,143.00930480052924,140.88262816272135
142.8889282941464,142.96442024748632,141.07396313584908
143.02839171165297,143.03346405730122,140.86399114017507
142.8337502995447,142.91563383656842,141.12796549245147
143.0072687171865,143.06984872821425,140.94493802891185
142.91277064273,142.9259303681173,141.20760990025855
142.91277345153946,143.01488918174195,140.91444111656884
142.9443597195446,143.03339280062153,141.18854487382384
142.94580319870403,143.0197941978557,140.96208907868314
142.91727156788477,143.03387766452195,141.1702417367457
142.98739983129482,143.033769794103,141.00719872704266
142.95705712614918,143.03817357376357,141.26695138669197
142.94833767926988,142.9884481171869,140.9360859728507
142.94213619975451,143.11921793494938,141.1817131405339
142.98834476473692,143.1007002733944,141.0250995251571
142.8886551198612,143.04785821775346,141.15806247543827
142.98778809687056,143.09688972848053,141.02050659979767
142.83447654381348,143.06950336252476,141.19225109407878
142.97940423328123,143.11172064563772,141.01913799882996
142.89250997008972,143.05974384538692,141.2704482705729
142.8772139160437,143.0107485144719,140.91348955338316
142.84325363531323,143.0312447561835,141.28663000589705
142.86280470263324,143.03229704071651,140.96234728908152
142.91749111608792,142.99625460980323,141.1030485845686
142.903817020787,142.98951541765743,140.987966940247
142.83564325086712,142.9515756851796,141.0879735570811
142.83377843837653,142.87163234483253,140.89257545609283
142.83055167547485,142.86921167960293,141.06588617043235
142.80403098991297,142.77643059870363,140.80153798949104
142.73948571785016,142.76180742489456,140.95093734855354
142.81975885354717,142.81873249434062,140.8120995280666
142.83058947721983,142.8186079988484,141.02788800652576
142.8605396330495,142.76978534596475,140.69607386976855
142.826748726411,142.76102098183875,141.00093060738922
142.80025312935965,142.68434577086998,140.7397178182934
142.78924612505398,142.7176160084457,140.9240078698594
142.8060076114969,142.74415580052695,140.69477705416833
142.82198684014762,142.7895527473951,141.02571498504997
142.87629894740883,142.79743137047947,140.79490304071234
142.81188788706172,142.7934375254922,141.0269293703844
142.8995978732389,142.84913048485546,140.7792861530193
142.75758026515933,142.76189882103424,140.99468337787843
142.8322826712723,142.80687967760505,140.777494722702
142.7834094528986,142.7394647963002,140.9197242424824
142.86686074115994,142.77107202977302,140.79971320457915
142.85062192874693,142.84142256603195,141.07892160626537
142.97499436161485,142.83294064579906,140.8729851770453
142.80716759567508,142.8972638223979,141.04242898122476
142.91819328113837,142.8986657205732,140.82272733810535
142.83912861935409,142.9440676908605,141.20103763216372
142.8699333730151,142.8611105777539,140.9325425779075
142.8613542566465,142.94613206641714,141.2238938477781
142.98756276220922,142.9757975480737,140.93924906156695
142.85708185599754,142.96222178508543,141.14087906077427
142.95286398756852,142.91488851479355,140.90598216812228
142.85337151958245,142.98206301690558,141.1674917966726
142.8370466929613,142.90818121258883,140.9176175710842
142.86647089307306,142.9148864705092,141.1633797815781
142.92172728537236,142.96859786367625,140.90983217340005
142.7875749580235,142.92092588150635,141.1181530343008
142.76199910771254,142.87640379366093,140.86349920605605
142.83087808226412,142.94884533598298,141.17607726240706
142.83473215956695,142.78815100605118,141.96341937434318
142.77275194412823,142.8897214576999,142.30246744575894
142.81379300416066,142.7941462993267,141.93831011464576
142.70492055110174,142.79231913974365,142.32604771734435
142.87292069725353,142.86308406503986,142.0596534855475
142.61575844219394,142.77918607607688,142.0553042260143
142.84235784179637,142.8556990454801,141.97248736664795
142.72834226139048,142.87166637866483,142.22122861586314
142.85832325094583,142.90917209195138,142.04012310115036
142.7833599123852,142.94404949467778,142.2846280213657
142.82786046712678,142.87923672847955,142.10942850693294
142.79806039656248,142.8935186518796,142.31820538672045
142.6866206989273,142.79357732087468,142.00586280742527
142.81171566202568,142.88007223233453,142.3982575870366
142.79223570157387,142.91514244460754,141.99479054238802
142.83830955626811,142.95298189358883,142.4671473282003
142.79493477770689,142.92932772343252,142.1345848465513
142.76565650746096,142.98020491252328,142.4179341668107
142.83152004526428,142.93059797749254,142.10797734868356
142.73429081794347,142.90697417576612,142.426992998934
142.8650644732485,142.96746344436394,142.23419601595154
142.72992287078213,142.98811845049994,142.36144115415277
142.80080134357004,142.95403550863725,142.1918234165067
142.69783816993214,142.9343291319081,142.41629628207463
142.81314714452355,142.9760223503377,142.20322198167233
142.83653818447263,143.0357063959352,142.4259986745171
142.84080633549317,142.99146148308137,142.2080345572354
142.74122204833273,142.98641421754533,142.46534905379585
142.80672268907563,143.01601965743464,142.22129491431068
142.78273522250876,143.02351624815716,142.43646002910117
142.87068990349994,143.0955926832781,142.34299294253205
142.68067876344085,142.99526209677418,142.49131624423964
142.80458160260162,143.02868298111144,142.27774047178227
142.7832291096318,143.13377136105586,142.52925948339626
142.8195201274032,143.02125944971027,142.2289947810737
142.76003609779045,143.0559659759124,142.5753853391128
142.83735463093174,143.10312024535756,142.33789938996588
142.74518534156007,143.04605471486283,142.52011745175747
142.72128581921527,143.05588013614783,142.29149844217318
142.70753983863077,143.059343010371,142.57556627939329
142.80604312818494,143.1313471079932,142.38357597335917
142.71937550424528,143.1457172768835,142.58959718006838
142.87114614638642,143.14450450796454,142.3822552304871
142.7140532991635,143.12135565889687,142.55684332272725
142.7906689954991,143.1039049529275,142.32045757718257
142.73686104766108,143.16457281609306,142.54606311303914
142.77951758070324,143.1071354854194,142.37557182287293
142.72470156635646,143.19270218099052,142.62331095681236
142.68817524131182,143.1205071865825,142.340355203316
142.7341405683613,143.1393584690061,142.57466043796182
142.76323392492057,143.08097290344875,142.35036426288357
142.64249901549277,143.05190514152892,142.5253234466397
142.71047476377046,143.0138136667435,142.34900514711532
142.59247852241933,142.9282639195864,142.41679479541042
142.70033804223607,142.98667998348202,142.22815450066744
142.5426631974115,142.88336389734334,142.366777721237
142.6227272290684,142.93846589763046,142.17944444978053
142.60263344990585,142.8867549287114,142.2267591560663
142.66511395614634,142.79162784890366,142.06272150135902
142.61847279510033,142.89471862470796,142.34888997855913
142.6533848460385,142.82386210740785,142.09460173759274
142.61000028810972,142.77819873807945,142.395646662249
142.70920040918455,142.7565928181386,142.1038906151696
142.59753462284627,142.78570811163826,142.2712971322103
142.72187100679267,142.79064304449335,142.0961348154838
142.6624244199728,142.8213549896025,142.38245054580906
142.66237032983386,142.767978609523,142.090827920909
142.6063222118133,142.80662006677716,142.4633806538397
142.7293807996004,142.86024764173598,142.0727891875276
142.57639699069074,142.84655787447127,142.3536322478119
142.73299005221267,142.84766099708435,142.2398420650665
142.59403634477593,142.82817872716444,142.3247593983518
142.71487654914017,142.798136228264,142.2199010471707
142.67966501544714,142.88695952990693,142.52022063239625
142.7089252610245,142.8421798307543,142.2032341104035
142.6612980699951,142.8731422862248,142.44305572901155
142.68640251922542,142.80213903743316,142.184717595215
142.6618714708255,142.93834268044407,142.44295701609497
142.7586617729011,142.9761909337228,142.2507638501893
142.5871539377184,142.8821660330991,142.47803632454017
142.73037077557208,142.96748576062495,142.27838638010374
142.6189268873587,142.8836516945653,142.45082447395967
142.6718171382462,142.95388590832897,142.41387409282376
142.68201843942327,142.9483186878126,142.5129359424621
142.6582305228328,142.85543939182926,142.25763695127046
142.60139497348396,142.97086119437398,142.48185669817846
142.70439160785406,142.93774111565384,142.3186690175693
142.6511882629311,142.97415462070225,142.5695639432939
142.69167022762954,142.95785900507497,142.30424386754177
142.55121714571166,142.91109168459883,142.42931044420536
142.71105451574925,142.9829413036688,142.31700824103217
142.690767508779,142.9863715190208,142.56936978483623
142.63623530767458,142.94724206806484,142.22578647153722
142.65205066113165,142.99820783364083,142.62266009378845
142.61198459425455,142.95264462095528,142.27169434386315
142.66495783986355,143.02268239363875,142.52331419511376
142.7459170733582,143.02344560581025,142.38999154594012
142.62539975222566,143.00994938872722,142.62134220711246
142.708845745677,143.0518566894121,142.3921256968888
142.63384022747795,143.03808430517398,142.5257737900824
142.70961995534535,143.06870573548125,142.39297529589706
142.65404119301112,143.1242567713716,142.68568819245837
142.70411968839548,143.10906638635697,142.4738097638007
142.67302284667778,143.11444969452842,142.71118396069969
142.64904146147126,143.0374919601801,142.36958212136048
142.59266033026114,143.07464477726575,142.61515456989247
142.6776743672572,143.07530035183044,142.40594895818833
142.64907671989434,143.1733317325009,142.68524432705007
142.6735757517533,143.1565616293592,142.44661831107695
142.59960105743812,143.14407113674596,142.80594568613313
142.7259184889128,143.2513979093809,142.503160908497
142.57360257395314,143.21095370726084,142.70715520553208
142.7145751320211,143.16938070091214,142.5969419107057
142.6614010989011,143.19629889341428,142.68209674940445
142.6488390958532,143.18730469593768,142.45507346552807
142.63831658472586,143.23543688153904,142.88319227978104
142.74735391955917,143.2763876021831,142.51792134480888
142.63929466678192,143.26196444521278,142.78849607668002
142.73678473329363,143.27798640056855,142.56058277789515
142.65994524232673,143.30674383976177,142.79058071953503
142.67838687234604,143.27891466545114,142.58964086078257
142.63230078714426,143.23662863898045,142.8169144713447
142.73155973876297,143.35623319247023,142.6308778332693
142.65538350738206,143.32967951026288,142.85608450366104
142.71174078182247,143.32327364746442,142.6768031806854
142.67346125404555,143.30772037992068,142.8100252576181
142.68240077574455,143.30282839532248,142.608330613107
142.71157900803505,143.37119680327356,142.89691805987138
142.62109515561804,143.28373483281916,142.64991100001438
142.7161103075792,143.4285254361897,142.8752961188608
142.71645324076076,143.42425901118264,142.6941455521465
142.7013631624215,143.46368664081606,143.03106876354394
142.67439639950868,143.43259634577,142.67563430830646
142.63929228537253,143.4461407646892,142.9403784534235
142.72352478061333,143.45649230946483,142.6600610634253
142.63977980699488,143.41563831473573,142.96394963997676
142.66889505307816,143.45092910755764,142.72354251051004
142.66957227131564,143.38372221395554,142.92580148128238
142.7615918533996,143.4392871724668,142.770684727526
142.6586843887003,143.4329109304548,142.98350083792312
142.62711066941287,143.43601857053008,142.66658504851478
142.50715629619674,143.2978958281337,142.82381400349416
142.64317263099272,143.3268217039377,142.70466264030648
142.55569272449537,143.26039735226584,142.9097887384834
142.59016393442624,143.25960605798687,142.60900150777417
142.57905728496533,143.2341664586254,142.95414130163425
142.61646637443044,143.21621478881693,142.59465428583775
142.53574190325696,143.1860942070403,142.82189806965386
142.62659243318026,143.25797417520127,142.61346386641816
142.55861157818882,143.2202354071583,142.77688205620947
142.59826929633738,143.21722155792142,142.66496189474594
142.51008500216108,143.16835230274216,142.82299380492725
142.6081150537273,143.26005255042486,142.66708297106845
142.59804892113988,143.2666202124081,142.93456677399203
142.6737268802021,143.24082052168734,142.6994030037126
142.6178369963194,143.32228351223824,142.96171402761894
142.60947575127594,143.32024832076206,142.65315754348734
142.53977684811167,143.171624263325,142.8022180702117
142.68197296064164,143.32046202242873,142.73644069831664
142.61358340819885,143.3731762038136,142.93795369707567
142.669434147091,143.33029694792847,142.78297447323436
142.6518352283103,143.38528261266543,143.01304698838024
142.53892888532417,143.2884882308021,142.73064121836774
142.6255480797399,143.39278767883127,143.01653483938202
142.66137924410506,143.3462469384815,142.76807856696922
142.64614682205936,143.46410188633905,143.09809443710202
142.7006453223731,143.41843202028156,142.76299767607122
142.63334101537367,143.46003418507956,143.04797914326045
142.67715628345005,143.46636874619,142.82747332395732
142.61378717188558,143.5128603072251,143.14314749592785
142.6972125519195,143.52602818659815,142.81972581690715
142.63738085171804,143.5308872703513,143.19197286493966
142.63158905240522,143.4515978842074,142.91662586758056
142.59751023389003,143.52901043568505,143.1974516172429
142.73597445316815,143.58035006842903,142.93132128022282
142.6259164478075,143.4775707351268,143.1430882910739
142.6412546579079,143.58672352195458,142.87518247474165
142.6203216774485,143.60465563031588,143.2550079002598
142.7021275574143,143.62426116475487,143.02293210158115
142.65450780885948,143.64624016986852,143.3118211384457
142.6322554633465,143.4813504653384,143.01078989934868
142.6707202858666,143.62202402393748,143.28727864789707
142.69446296251888,143.63649312966115,142.93734442819118
142.6269653313862,143.67025666399255,143.4014920425996
142.74102418836,143.67878645298202,143.09118406775428
142.56120480308687,143.58694796655885,143.285819183552
142.74576238640893,143.64339239509775,143.06053390810942
142.6765073324492,143.68000057660151,143.3381719810106
142.734549921544,143.71819172061018,143.00555190333833
142.65789738937607,143.71673362420262,143.38223393379124
142.6693965475882,143.7259564178589,143.1289089112141
142.64914023544543,143.78109717763027,143.4278762399758
142.66334415786872,143.70886956354897,143.1641476038124
142.67845890805702,143.84448841587582,143.54742671072347
142.7556233832923,143.8175897797678,143.329345254378
142.6243622663243,143.7677953492837,143.46541719661155
142.83547911878037,143.84586814336373,143.2821016061
142.66392210897254,143.78181006380495,143.47370745735537
142.69912472647704,143.8476860915966,143.20946581442666
142.70068974123905,143.92193012350063,143.5027767244731
142.69077750742665,143.80285644355502,143.2570031338334
142.69186549100968,143.9245524051022,143.5222308667589
142.66192660990757,143.75939932618564,143.33521783784303
142.72133333973008,143.89718334860558,143.55844635600823
142.7526941077643,143.90007440297612,143.39944797791912
142.6069134878724,143.8702246140121,143.55787539989737
142.76611815743126,143.9132606786542,143.36407000571063
142.6212132854371,143.92002996715138,143.4522254451851
142.73211473457786,143.92224110778213,143.37498079434584
142.58448027641808,143.9549908820424,143.50881082637488
142.7585996619675,144.01462086582416,143.34953232435754
142.66956016573604,143.97382407589674,143.5665848869087
142.61924846809757,143.89734694171332,143.34527185570127
142.63455678770052,143.95852667239285,143.54407650708498
142.71683819119588,144.01168765743074,143.38315461197072
142.60432459420923,144.00924641257436,143.65053265289467
142.75628889326035,144.03929508739438,143.49636076632618
142.66159622790084,144.02055544351936,143.6837505881901
142.70347788544564,144.0151491892929,143.43625635613546
142.6703475029527,144.0652276197152,143.77270675897563
142.62461788009233,143.95180370194407,143.3732417685253
142.62349491546573,144.01753072555994,143.6720415400932
142.73785890506954,144.00177112632113,143.4422104040472
142.59957586458373,143.97519959313706,143.69146067631368
142.65511133724698,144.02433627256625,143.51165213050385
142.5541994624688,143.94956325590326,143.67188999808025
142.67580344801107,144.04077714636767,143.5204749654431
142.52102030042712,143.97655132696644,143.66808561693142
142.63763129735463,143.945254581312,143.44865907553228
142.5928693188639,143.95200115243333,143.66543420326042
142.9947041082844,141.1666498314069,143.9639100131315
142.9315493513303,141.1448912149389,144.17383482372634
142.94585509420895,141.10753479335585,143.88064460282197
142.89011903330527,141.14331129012865,144.16537693880005
